9	0	0	0	2.9975757575757576	-10.025723431276214	64	12.84375	-18.985198212289855	761	2.169513797634691	-9.272232779522112
19	2	0	0	2.9975757575757576	-10.025723431276214	64	12.84375	-18.985198212289855	761	2.169513797634691	-9.272232779522112
29	4	0	0	2.9975757575757576	-10.025723431276214	64	12.84375	-18.985198212289855	761	2.169513797634691	-9.272232779522112
39	6	4	-9.632389678764458	3.335757575757576	-9.601303286040556	64	14.53125	-17.427898114267077	761	2.3942181340341655	-8.943087689448577
49	7	10	-15.420302008270403	4.426666666666667	-9.916792711685769	64	30.234375	-17.802893845184688	761	2.2562417871222076	-9.253572642639869
59	9	0	0	3.6	-9.417830941867043	64	15.984375	-17.21028809733738	761	2.5584756898817345	-8.76248631906796
69	10	20	-12.908843060892771	4.12969696969697	-9.45823534097829	64	19.0	-17.362758154140614	761	2.8791064388961893	-8.793466011093416
79	12	5	-10.346161593683226	4.078787878787879	-9.46017242098827	64	19.203125	-17.55581390148629	761	2.806833114323259	-8.779330036294612
89	14	9	-13.319869360572591	3.9272727272727272	-9.450630190370113	64	17.53125	-17.383493282201524	761	2.783180026281209	-8.783477446773253
99	15	0	0	3.8654545454545453	-9.454445616059889	64	17.1875	-17.416428996505612	761	2.7450722733245727	-8.784843860017146
109	17	0	-2.4256622282116798	3.995151515151515	-9.454206875192531	64	19.171875	-17.470900906309293	761	2.7187910643889617	-8.780003960617664
119	19	9	-13.23916512113989	3.8484848484848486	-9.263267577723425	64	17.1875	-17.065800335032527	761	2.726675427069645	-8.607075598133697
129	21	0	0	3.326060606060606	-9.696701274886777	64	14.484375	-18.387231243272424	761	2.3876478318002627	-8.965828846533713
139	22	0	0	3.3212121212121213	-9.693117960626356	64	14.390625	-18.35382467530537	761	2.3902759526938238	-8.964753663991065
149	24	1	-4.863954825479768	3.3393939393939394	-9.704250754787953	64	14.640625	-18.578603182087534	761	2.3889618922470435	-8.957918881795608
159	25	7	-12.707670626769808	3.4084848484848487	-9.677671197092506	64	15.359375	-18.178344158594427	761	2.4034165571616293	-8.962765718070004
169	28	9	-17.47512462581602	3.3515151515151516	-9.684871067908267	64	14.625	-18.260135235191136	761	2.4034165571616293	-8.963692478281326
179	30	0	0	3.561212121212121	-9.683794971949261	64	16.75	-18.228534035818114	761	2.45203679369251	-8.965183539508253
189	31	0	0	3.5127272727272727	-9.691691231032722	64	15.984375	-18.23449362874359	761	2.463863337713535	-8.973242671961112
199	33	0	0	3.810909090909091	-9.711776902990211	64	18.46875	-18.463378178915384	761	2.5781865965834427	-8.975768385698212
209	36	0	0	3.8036363636363637	-9.697485276981569	64	18.46875	-18.33481332202341	761	2.5703022339027597	-8.971087123390665
219	38	0	0	3.875151515151515	-9.68314241200173	64	19.1875	-18.166199035846567	761	2.5873850197109065	-8.969718464661298
229	40	0	0	6.416969696969697	-9.488152674291102	64	45.84375	-16.285218874558172	761	3.1011826544021024	-8.916520300024228
239	43	3	-7.5497759966878535	7.676363636363637	-9.351381499782985	64	51.0625	-17.958159616432134	761	4.027595269382392	-8.62755259115546
249	47	0	0	5.303030303030303	-9.911418676462185	64	36.40625	-19.857574787391034	761	2.6872536136662286	-9.074948254518103
259	50	0	0	5.006060606060606	-9.471873904195995	64	25.828125	-18.089405747909126	761	3.2549277266754273	-8.747140608535496
269	52	6	-11.575831520299772	3.5624242424242425	-9.797457477213253	64	17.421875	-18.61231902008176	761	2.3968462549277265	-9.056128779784103
