0	0	199	-997.5881918368915
1	1	199	-1177.8978882285103
2	2	199	-1365.7517730002369
3	3	199	-1113.391419199008
4	4	199	-1506.0735200673826
5	6	199	-1476.9349450499428
6	7	199	-1499.3939811923806
7	8	199	-1428.9291606209686
8	9	199	-1507.335436586317
9	11	199	-1471.2096548277987
10	12	199	-1468.9941386270366
11	14	199	-1467.9414244391437
12	15	199	-1399.4844603067825
13	17	199	-1354.9689244903536
14	18	199	-1481.8108191715523
15	20	199	-1502.098106170576
16	21	199	-1493.3795981547428
17	22	199	-8.131478613578867
18	24	199	-1455.1905047670941
19	26	199	-8.353789809972593
20	27	199	-1331.3580843502205
21	28	199	-1320.6172945872997
22	29	199	-1309.1967239592145
23	30	199	-1491.192720506193
24	32	199	-1131.457965015298
25	33	199	-1493.3010662452714
26	34	199	-1178.6389063498414
27	35	199	-962.9096548692569
28	37	199	-576.5540318895295
29	38	199	-143.25863145211324
30	39	199	-12.804468134486129
31	40	199	-543.0235015807867
32	42	199	-4.695284040380248
33	43	199	-1495.0625711176815
34	44	199	-463.1598214661934
35	45	199	-444.0228301548691
36	46	199	-130.7990139071695
37	48	199	-289.70421757115383
38	49	199	-138.61805940152817
39	50	199	-1492.6940602380384
40	51	199	-3.1074663330596595
41	52	199	-264.68708587989636
42	54	199	-132.3379800857234
43	55	199	-135.10629517850657
44	56	199	-0.35615046560477115
45	57	199	-138.888620891795
46	58	199	-128.34179258892775
47	60	199	-273.9300560325471
48	61	199	-1.2360166005400421
49	62	199	-135.2184582034508
50	63	199	-268.81001634042997
51	65	199	-131.41869004802936
52	66	199	-1.7835355893155385
53	67	199	-0.4235587554655899
54	69	199	-1.3651958870026906
55	71	199	-133.86676512892333
56	72	199	-4.989600821996707
57	74	199	-129.72633031856128
58	75	199	-265.29731830966773
59	76	199	-422.2197639474021
60	78	199	-130.76401095350494
61	79	199	-135.7045535217487
62	80	199	-139.34155380133828
63	81	199	-135.17873639932637
64	83	199	-137.14273722878792
65	84	199	-7.992978808532341
66	85	199	-134.41420548154622
67	87	199	-9.6314247763214
68	88	199	-137.25823530288034
69	89	199	-133.53535614230563
70	91	199	-251.23993044392176
71	92	199	-123.26957270607319
72	93	199	-252.73919414987952
73	95	199	-15.216125423060424
74	96	199	-1189.0676476838805
75	98	199	-9.717546393566911
76	99	199	-1229.9307590860456
77	100	199	-135.91204406487012
78	102	199	-7.163119465281808
79	103	199	-135.609787201108
80	104	199	-379.15841066479186
81	105	199	-122.21634624511422
82	107	199	-3.65200246147872
83	108	199	-129.45279287385296
84	110	199	-128.50069985954752
85	111	199	-123.94046285175673
86	112	199	-242.4656789223206
87	114	199	-117.00585063881887
88	115	199	-127.50878072481642
89	116	199	-230.12067726778466
90	117	199	-247.2823846198128
91	118	199	-244.50746774083717
92	120	199	-131.17478543776176
93	121	199	-127.83935798709439
94	122	199	-116.65543595179642
95	123	199	-126.3961026835907
96	124	199	-2.068031066013843
97	126	199	-320.9148656213822
98	127	199	-126.36931863184547
99	128	199	-236.56262794618928
100	129	199	-243.60791572757194
101	130	199	-3.566594031594021
102	132	199	-130.82716355769077
103	133	199	-258.6323272070473
104	134	199	-240.72331073120827
105	135	199	-240.7186257220283
106	137	199	-138.51560039452323
107	138	199	-6.9205592768180635
108	139	199	-129.33436351542326
109	141	199	-137.32327892370253
110	143	199	-138.4844013382816
111	144	199	-370.07375740762996
112	145	199	-7.934429282252144
113	147	199	-133.5607818624048
114	148	199	-249.63763059757775
115	149	199	-131.1598516748122
116	150	199	-254.0285151093475
117	152	199	-5.9955308488494445
118	153	199	-241.58326069678228
119	154	199	-123.13768308853913
120	156	199	-134.28847974408566
121	158	199	-134.17523957811622
122	159	199	-135.43688145248885
123	160	199	-254.71696152164594
124	162	199	-119.67709745829417
125	164	199	-340.1791474488935
126	165	199	-128.64889798512843
127	166	199	-4.974231102822777
128	167	199	-326.8875668626638
129	169	199	-129.6993577618537
130	170	199	-130.58104837597074
131	171	199	-123.62717774427024
132	173	199	-118.68805348086963
133	174	199	-116.78953915663303
134	175	199	-127.25796396006658
135	177	199	-1.3600227404713343
136	178	199	-252.63444070679762
137	179	199	-126.24435677369496
138	181	199	-252.60069265718744
139	182	199	-129.09344040333272
140	184	199	-249.6330617273454
141	185	199	-372.22073070864917
142	186	199	-123.2074831320209
143	188	199	-2.4092159244743923
144	189	199	-115.93494521014854
145	191	199	-115.42938410117299
146	192	199	-225.07603160764947
147	194	199	-2.599100860257203
148	195	199	-124.89198058464906
149	197	199	-256.8367902185213
150	199	199	-122.44774616004156
151	200	199	-116.57090878134314
152	202	199	-307.0439111446294
153	204	199	-3.4520322748828605
154	205	199	-124.60744024208785
155	206	199	-285.233968755783
156	208	199	-130.0264454073715
157	209	199	-124.01512266833672
158	210	199	-238.32917140088597
159	211	199	-131.90506461050737
160	213	199	-242.14407238078144
161	214	199	-243.76625255699204
162	215	199	-250.80216271630462
163	216	199	-118.58014744370891
164	218	199	-120.29511452474809
165	219	199	-244.62537972482227
166	220	199	-132.4186981861092
167	222	199	-244.43116508998523
168	223	199	-5.1893157603648845
169	225	199	-124.28026085899496
170	226	199	-338.63994574509695
171	228	199	-123.79217409825296
172	230	199	-130.35741274345028
173	231	199	-370.86939607416303
174	232	199	-247.40550359703767
175	234	199	-245.28374028210877
176	235	199	-130.1323039861522
177	236	199	-131.10432474240955
178	238	199	-121.23540696534364
179	239	199	-132.20286001743338
180	241	199	-120.1080425361649
181	242	199	-4.916177328564329
182	244	199	-4.556694321233839
183	246	199	-128.88679527795927
